learning_rate,max_leaf_nodes,min_samples_leaf,l2_regularization,max_iter,class_weight,ap,sd
0.03,63,40,1.0,200,balanced,0.19701,0.06303
0.03,63,150,1.0,200,balanced,0.19612,0.06346
0.03,31,40,1.0,200,,0.1954,0.06315
0.03,31,150,1.0,400,balanced,0.19519,0.06536
0.03,63,40,1.0,400,balanced,0.19485,0.06113
0.03,31,40,1.0,400,balanced,0.19479,0.06549
0.03,63,150,1.0,400,balanced,0.194,0.06067
0.03,31,40,1.0,200,balanced,0.1938,0.06407
0.03,31,150,1.0,200,balanced,0.19375,0.06529
0.03,63,150,1.0,200,,0.19341,0.06167
0.03,63,40,1.0,200,,0.19327,0.06238
0.06,63,40,1.0,200,balanced,0.19294,0.06287
0.06,31,40,1.0,200,,0.19281,0.06376
0.06,31,150,1.0,200,balanced,0.19279,0.06557
0.03,31,40,1.0,400,,0.19276,0.06223
0.03,31,150,1.0,200,,0.19258,0.06155
0.06,31,40,1.0,200,balanced,0.19255,0.06695
0.06,63,40,1.0,200,,0.19253,0.0603
0.03,15,40,1.0,200,,0.19188,0.06356
0.03,15,150,1.0,400,balanced,0.19162,0.06434
0.06,15,150,1.0,200,,0.1916,0.06092
0.1,31,40,1.0,200,balanced,0.19148,0.06396
0.03,31,150,1.0,400,,0.19143,0.05998
0.03,15,40,1.0,400,,0.19123,0.06315
0.06,15,40,1.0,400,balanced,0.19123,0.06424
0.03,63,40,1.0,400,,0.19117,0.06122
0.06,15,40,1.0,200,balanced,0.19116,0.06433
0.03,15,40,1.0,400,balanced,0.19098,0.06647
0.06,15,150,1.0,400,,0.19091,0.06033
0.1,31,40,1.0,200,,0.19083,0.05768
0.1,31,150,1.0,200,balanced,0.19071,0.06353
0.1,15,40,1.0,200,balanced,0.19043,0.06733
0.1,63,40,1.0,200,balanced,0.19037,0.06428
0.06,63,150,1.0,200,balanced,0.19034,0.06178
0.06,31,150,1.0,200,,0.19033,0.0639
0.03,15,150,1.0,400,,0.19027,0.06135
0.06,15,150,1.0,200,balanced,0.19013,0.06471
0.06,15,40,1.0,200,,0.19008,0.06248
0.03,15,150,1.0,200,,0.18986,0.06102
0.06,15,150,1.0,400,balanced,0.18976,0.06449
0.06,15,40,1.0,400,,0.18972,0.06213
0.03,63,150,1.0,400,,0.18972,0.06048
0.1,15,40,1.0,400,balanced,0.18952,0.06837
0.06,31,40,1.0,400,,0.18902,0.06381
0.03,15,150,1.0,200,balanced,0.18895,0.06185
0.03,15,40,1.0,200,balanced,0.18862,0.06148
0.06,31,40,1.0,400,balanced,0.18856,0.06583
0.1,15,150,1.0,200,balanced,0.18855,0.06526
0.1,31,150,1.0,200,,0.18842,0.06179
0.06,63,150,1.0,200,,0.18824,0.06144
0.1,15,150,1.0,200,,0.18813,0.0622
0.06,31,150,1.0,400,balanced,0.18808,0.06323
0.06,63,40,1.0,400,balanced,0.18808,0.06043
0.06,63,40,1.0,400,,0.18805,0.06039
0.1,15,150,1.0,400,balanced,0.18783,0.06437
0.1,15,40,1.0,200,,0.18727,0.06114
0.06,31,150,1.0,400,,0.18672,0.06295
0.1,31,40,1.0,400,,0.18638,0.05758
0.1,63,150,1.0,200,,0.18614,0.0583
0.1,63,150,1.0,200,balanced,0.18565,0.05927
0.1,15,150,1.0,400,,0.18556,0.06102
0.1,63,40,1.0,200,,0.18545,0.05979
0.1,31,40,1.0,400,balanced,0.18544,0.06345
0.06,63,150,1.0,400,balanced,0.18522,0.05605
0.1,15,40,1.0,400,,0.18506,0.0615
0.1,31,150,1.0,400,balanced,0.18438,0.05961
0.06,63,150,1.0,400,,0.18429,0.05854
0.1,31,150,1.0,400,,0.18379,0.05989
0.1,63,40,1.0,400,balanced,0.18304,0.0589
0.1,63,40,1.0,400,,0.18233,0.05724
0.1,63,150,1.0,400,,0.18205,0.05799
0.1,63,150,1.0,400,balanced,0.18142,0.05496
